FSTR_LOOPGROUPID,FDT_TIME,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY,FINT_VH,FSTR_VALIDITY,FINT_LV,FINT_MV,FINT_SV,FINT_LS,FINT_MS,FINT_SS
6.11309E+14,2010/3/1 0:24,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:24,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:25,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:25,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:25,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:26,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:26,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:26,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:27,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:27,1,78,1,4554,valid,0,0,1,0,0,78
6.11309E+14,2010/3/1 0:27,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:28,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:28,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:28,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:29,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:29,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:29,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:30,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:30,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:30,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:31,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:31,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:31,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:32,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:32,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:32,1,81,1,3107,valid,0,0,1,0,0,81
6.11309E+14,2010/3/1 0:33,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:33,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:33,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:34,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:34,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:34,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:35,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:35,1,113,1,1580,valid,0,0,1,0,0,113
6.11309E+14,2010/3/1 0:35,0,0,0,0,valid,0,0,0,0,0,0
