FSTR_LOOPGROUPID,FDT_TIME,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY,FINT_VH,FSTR_VALIDITY,FINT_LV,FINT_MV,FINT_SV,FINT_LS,FINT_MS,FINT_SS
611309270020604,2010-03-01 00:24:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:24:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:25:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:25:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:25:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:26:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:26:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:26:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:27:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:27:20,1,78,1,4554,valid,0,0,1,0,0,78
611309270020604,2010-03-01 00:27:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:28:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:28:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:28:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:29:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:29:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:29:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:30:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:30:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:30:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:31:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:31:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:31:40,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:32:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:32:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:32:40,1,81,1,3107,valid,0,0,1,0,0,81
611309270020604,2010-03-01 00:33:00,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:33:20,0,0,0,0,valid,0,0,0,0,0,0
611309270020604,2010-03-01 00:33:40,0,0,0,0,valid,0,0,0,0,0,0
